Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
170,Julian Champagnie,24,SAS,SF,17,12,27.9,3.4,8.1,0.416,2.2,5.9,0.376,1.1,2.1,0.528,0.555,1.5,2,0.765,0.9,4.2,5.2,1.4,0.9,0.4,1.2,1.2,10.5,,champju02
171,Derrick Jones Jr.,28,LAC,SF,13,13,24.9,3.8,7.1,0.533,1.2,3.5,0.348,2.5,3.5,0.717,0.62,1.7,2.2,0.786,0.8,1.5,2.4,1.1,0.8,1.2,0.8,2,10.5,,jonesde02
172,Vit Krejci,25,ATL,PG,15,1,23.4,3.7,6.8,0.539,2.6,5.3,0.494,1.1,1.5,0.696,0.73,0.5,0.8,0.667,0.3,1.9,2.1,1.9,0.4,0.2,0.7,2.5,10.5,,krejcvi01
173,Gary Trent Jr.,27,MIL,SG,19,13,28.4,3.6,8.9,0.402,2.4,6.2,0.39,1.2,2.7,0.431,0.538,0.9,1.2,0.739,0.1,1.4,1.4,1.9,1.1,0.1,0.9,1.9,10.5,,trentga02
174,Jarace Walker,22,IND,PF,18,10,27.9,3.4,10.1,0.341,1.7,5.1,0.33,1.8,5.1,0.352,0.423,1.9,2.4,0.814,0.7,4.6,5.3,2.6,0.7,0.4,2.2,2.1,10.5,,walkeja02
175,Rudy Gobert,33,MIN,C,18,18,32.3,4.3,6,0.722,0,0,,4.3,6,0.722,0.722,1.7,3.5,0.492,3.6,6.8,10.3,1.8,0.4,1.8,1.8,3.1,10.4,,goberru01
176,Josh Hart,30,NYK,SF,16,2,27.3,4,8.2,0.489,1.3,3.4,0.382,2.7,4.8,0.566,0.569,1.1,1.5,0.75,1.7,5.4,7.1,4.8,1.1,0.3,1.9,2.7,10.4,,hartjo01
177,Simone Fontecchio,30,MIA,SF,19,0,18.8,3.3,7.8,0.423,2.2,5.6,0.393,1.1,2.2,0.5,0.564,1.5,1.7,0.848,0.5,2.3,2.8,1.6,0.5,0.2,1.1,1.9,10.3,,fontesi01
178,T.J. McConnell,33,IND,PG,8,0,17,4.8,9.5,0.5,0.6,2,0.313,4.1,7.5,0.55,0.533,0.1,0.1,1,0.3,2.4,2.6,4,0.9,0,0.9,1.1,10.3,,mccontj01
179,Isaiah Stewart,24,DET,C,15,5,22.7,3.9,7.7,0.509,1.1,2.7,0.4,2.9,5.1,0.566,0.578,1.4,2,0.7,2.1,4.2,6.3,1.3,0.2,1.9,1.1,3.1,10.3,,stewais01
180,Klay Thompson,35,DAL,SF,18,8,21.6,3.7,10.4,0.351,2.5,7.8,0.321,1.2,2.7,0.438,0.471,0.4,0.4,1,0.3,2.1,2.4,1.5,0.4,0.3,0.9,1,10.3,,thompkl01
181,Donovan Clingan,21,POR,C,19,19,25.4,3.9,8,0.493,0.7,2.9,0.255,3.2,5.1,0.629,0.539,1.6,1.9,0.811,4.7,5.3,10,1.7,0.7,1.5,0.7,2.6,10.2,,clingdo01
182,Sandro Mamukelashvili,26,TOR,C,18,1,18.5,3.7,6.7,0.554,1.1,2.6,0.426,2.6,4.1,0.635,0.636,1.6,2,0.806,1.2,2.8,4,1.8,0.5,0.4,0.8,1.8,10.2,,mamuksa01
183,Jalen Smith,25,CHI,C,17,0,17.1,3.8,7.8,0.481,1.7,4.4,0.387,2.1,3.4,0.603,0.59,1,1.4,0.739,1.9,4,5.9,1.3,0.3,0.7,0.9,2.1,10.2,,smithja04
184,Pelle Larsson,24,MIA,SG,19,15,23.2,3.5,7.5,0.465,1.2,3.5,0.343,2.3,3.9,0.573,0.546,1.9,2.5,0.766,0.5,2.4,2.9,3.5,0.6,0.3,1.3,2.1,10.1,,larsspe01
185,Daniss Jenkins,24,DET,PG,13,4,19.1,3.9,7.7,0.51,1.2,2.5,0.469,2.8,5.2,0.529,0.585,1,1.4,0.722,0.6,1.2,1.8,3.9,1.2,0.1,1.5,1.4,10,,jenkida01
186,Tre Mann,24,CHO,PG,16,1,21.6,3.8,10.4,0.365,1.6,5.2,0.313,2.2,5.3,0.417,0.443,0.8,0.8,0.923,0.7,2.3,3,2.9,0.7,0.1,2,2.2,10,,manntr01
187,Kevin Porter Jr.,25,MIL,PG,1,1,9,3,5,0.6,2,3,0.667,1,2,0.5,0.8,2,2,1,0,0,0,2,1,0,0,0,10,,porteke02
188,Cam Spencer,25,MEM,SG,19,1,20.1,3.2,6.9,0.455,2.1,4.7,0.444,1.1,2.2,0.476,0.606,1.6,1.8,0.882,0.3,1.8,2.1,3.5,0.7,0.1,0.9,1.3,10,,spencca01
189,Ace Bailey,19,UTA,SF,17,8,21.5,3.8,8.5,0.448,1.3,3.9,0.333,2.5,4.6,0.544,0.524,0.9,1.1,0.842,1.8,1.6,3.4,1.7,0.8,0.2,1.4,2.3,9.9,,baileac01
190,Dyson Daniels,22,ATL,SG,19,19,32.9,4.4,9.1,0.486,0.3,1.4,0.192,4.2,7.7,0.537,0.5,0.8,1.3,0.64,2.2,4.2,6.4,5.7,2.2,0.4,2.3,2.5,9.9,,daniedy01
191,Cameron Johnson,29,DEN,SF,16,16,27.8,3.5,7.8,0.448,1.4,3.8,0.361,2.1,4,0.531,0.536,1.6,1.9,0.833,0.8,2.4,3.3,2.1,0.6,0.2,0.9,2.1,9.9,,johnsca02
192,Jake LaRavia,24,LAL,PF,17,6,26.9,3.6,7.5,0.488,1.1,3.1,0.346,2.6,4.4,0.587,0.559,1.5,2.3,0.667,1.2,2.9,4.1,2.2,1.4,0.3,1.1,2.2,9.9,,laravja01
193,Daniel Gafford,27,DAL,C,13,12,24,3.7,6,0.615,0,0,,3.7,6,0.615,0.615,2.4,3,0.795,2.4,4.3,6.7,1.5,0.9,1.6,1.3,3.1,9.8,,gaffoda01
194,Caris LeVert,31,DET,SG,13,0,19.8,3.5,7.1,0.489,1.4,3.3,0.419,2.1,3.8,0.551,0.587,1.5,2.5,0.625,0.3,1.3,1.6,3.2,0.6,0.4,1.5,1.2,9.8,,leverca01
195,Davion Mitchell,27,MIA,PG,19,19,30,3.9,7.7,0.51,1,2.7,0.373,2.9,5.1,0.583,0.575,0.9,1.6,0.6,0.4,2.5,2.9,7.4,1.3,0.1,1.6,2.8,9.8,,mitchda01
196,Peyton Watson,23,DEN,SF,17,7,25.6,3.7,7.3,0.508,1.1,2.6,0.4,2.6,4.6,0.57,0.581,1.3,1.8,0.733,1.3,3.5,4.8,1.6,1.1,1.1,1.4,2.2,9.8,,watsope01
197,Moussa Diabaté,24,CHO,C,18,1,22.7,3.6,5.4,0.66,0,0,,3.6,5.4,0.66,0.66,2.6,3.6,0.708,3.9,4.1,8.1,1.1,0.5,1.3,0.8,2.4,9.7,,diabamo01
198,Jaden Ivey,23,DET,SG,3,0,14,3.7,8.3,0.44,1,3.7,0.273,2.7,4.7,0.571,0.5,1.3,1.7,0.8,0.7,2,2.7,1,0.7,0,0.7,0.7,9.7,,iveyja01
199,Bilal Coulibaly,21,WAS,SG,9,9,26.3,2.9,7.6,0.382,0.9,3.2,0.276,2,4.3,0.462,0.441,2.9,3.6,0.813,0.6,3.2,3.8,3.3,1.1,1,1.6,2.8,9.6,,coulibi01
200,Herbert Jones,27,NOP,SF,16,16,30.3,3.4,8.8,0.39,1.6,4.3,0.362,1.9,4.5,0.417,0.479,1.1,1.4,0.739,0.9,2.8,3.8,2.3,1.4,0.3,1.6,3.6,9.5,,joneshe01
201,Khris Middleton,34,WAS,SF,13,13,25.4,3.7,8,0.462,0.8,2.5,0.333,2.8,5.5,0.521,0.514,1.3,1.7,0.773,1.3,2.8,4.2,3.2,0.8,0.4,1.6,3.1,9.5,,middlkh01
202,Cam Whitmore,21,WAS,SF,17,0,16.8,3.6,7.5,0.488,0.9,2.5,0.349,2.8,4.9,0.56,0.547,1.2,1.6,0.778,0.7,1.9,2.6,0.7,0.8,0.2,0.9,1.3,9.4,,whitmca01
203,Ryan Kalkbrenner,24,CHO,C,16,16,25.6,4.1,5.1,0.802,0,0.1,0,4.1,5,0.813,0.802,1.2,1.6,0.76,3.2,3.6,6.8,0.4,0.8,1.8,1.4,1.8,9.3,,kalkbry01
204,Jordan Miller,26,LAC,SF,3,0,16.3,2.7,5.3,0.5,1.7,3,0.556,1,2.3,0.429,0.656,2.3,2.7,0.875,1,1.7,2.7,1,0.3,0,1,0.7,9.3,,millejo02
205,Svi Mykhailiuk,28,UTA,SF,17,17,26.4,3.5,7.5,0.472,1.9,5.3,0.367,1.6,2.2,0.73,0.602,0.3,0.4,0.833,0.6,1.9,2.5,2.1,0.5,0.2,0.9,1.4,9.3,,mykhasv01
206,Neemias Queta,26,BOS,C,17,17,23.6,4.2,6.6,0.628,0,0.2,0,4.2,6.5,0.645,0.628,0.9,1.6,0.593,3.1,4.9,7.9,1.7,0.6,1.4,0.8,3.3,9.3,,quetane01
207,Landry Shamet,28,NYK,SG,15,6,20.9,2.8,6.2,0.452,1.9,4.4,0.424,0.9,1.8,0.519,0.602,1.8,2.3,0.794,0.5,1.5,2,1.2,0.4,0.2,0.5,1.3,9.3,,shamela01
208,Marcus Smart,31,LAL,SG,14,9,26.8,3,7.4,0.408,1.1,4.5,0.254,1.9,2.9,0.65,0.485,2.1,2.3,0.938,0.6,1.6,2.3,2.9,1.8,0.3,1.9,2.9,9.3,,smartma01
209,Bogdan Bogdanović,33,LAC,SG,9,2,25.7,3.1,8.3,0.373,1.8,5.2,0.34,1.3,3.1,0.429,0.48,1.2,1.4,0.846,0.3,3.1,3.4,3.3,0.8,0.1,1.4,2.6,9.2,,bogdabo01
210,Ziaire Williams,24,BRK,SF,14,0,23.1,2.9,7.5,0.381,1.6,5.4,0.303,1.2,2.1,0.586,0.49,1.9,2.1,0.867,0.7,1.9,2.6,0.6,0.8,0.5,0.9,2.4,9.2,,willizi02
211,Isaiah Collier,21,UTA,PG,9,1,23.2,3,5.7,0.529,0.3,0.9,0.375,2.7,4.8,0.558,0.559,2.7,3.6,0.75,0.2,2.6,2.8,5.7,0.6,0.3,2.8,2.6,9,,colliis01
212,Corey Kispert,26,WAS,SF,17,2,19.9,3.1,6.1,0.505,1.6,3.9,0.403,1.5,2.1,0.694,0.636,1.2,1.7,0.724,0.4,2.1,2.5,1.7,0.5,0.2,0.6,1.1,8.9,,kispeco01
213,Trendon Watford,25,PHI,PF,14,4,20.4,3.4,6.3,0.534,0.5,1.3,0.389,2.9,5,0.571,0.574,1.7,2.1,0.8,1.1,3.6,4.7,3.6,0.4,0.2,1.5,2.7,8.9,,watfotr01
214,Nikola Jović,22,MIA,PF,14,1,21.4,2.9,7.3,0.402,1.1,3.6,0.294,1.9,3.6,0.51,0.475,1.9,2.5,0.743,0.7,3.6,4.4,3.1,0.6,0.4,1.8,2.6,8.8,,jovicni01
215,Brice Sensabaugh,22,UTA,SF,16,0,15.1,3.1,7.3,0.422,1.6,4.8,0.338,1.4,2.4,0.59,0.534,1,1.1,0.941,0.5,2,2.5,1.1,0.6,0.1,0.9,1.8,8.8,,sensabr01
216,Will Richard,23,GSW,SG,18,8,18.3,3.1,5.7,0.549,1.3,3.3,0.39,1.8,2.4,0.767,0.662,1.2,1.6,0.759,1.2,1.5,2.7,1.2,1.1,0.1,0.7,2.2,8.7,,richawi02
217,Cason Wallace,22,OKC,SG,18,18,28.7,3.3,7.6,0.431,1.6,4.3,0.364,1.7,3.3,0.517,0.533,0.6,0.6,0.909,0.8,2.1,2.8,2.4,2.3,0.3,1.2,2.5,8.7,,wallaca01
218,Jose Alvarado,27,NOP,PG,18,0,20.7,3.1,7.1,0.438,1.7,4.6,0.378,1.4,2.6,0.543,0.559,0.6,0.7,0.846,0.5,2.5,3,2.8,1,0,1.2,1.7,8.6,,alvarjo01
219,Terance Mann,29,BRK,SG,17,17,26.5,3.2,7.1,0.45,1.1,2.8,0.375,2.1,4.2,0.5,0.525,1.2,1.5,0.808,1.6,1.8,3.4,3.6,0.7,0.2,0.9,2.9,8.6,,mannte01
220,Tolu Smith,25,DET,PF,2,0,11,3,4,0.75,0,0,,3,4,0.75,0.75,2.5,3.5,0.714,2,3.5,5.5,1,0.5,0.5,0.5,1,8.5,,smithto05
221,Ryan Dunn,23,PHO,SF,16,11,24.1,3.4,7.1,0.478,1,2.9,0.34,2.4,4.1,0.576,0.549,0.6,0.9,0.667,1.9,2.9,4.8,1.9,1.4,0.7,1,2.6,8.4,,dunnry01
222,Kyle Filipowski,22,UTA,C,16,5,20,2.9,6.7,0.439,0.9,2.6,0.341,2.1,4.1,0.5,0.505,1.6,2.4,0.667,1.6,4.1,5.8,2.2,0.4,0.6,1.3,2.7,8.4,,filipky01
223,Draymond Green,35,GSW,PF,17,17,29,3.1,7.6,0.403,1.6,4.4,0.36,1.5,3.2,0.463,0.508,0.6,1.1,0.579,0.9,5.1,5.9,5.9,0.8,0.9,3.2,3.7,8.4,,greendr01
224,Tyrese Martin,26,BRK,SG,17,2,21.4,3,7.7,0.389,1.5,4.5,0.329,1.5,3.2,0.473,0.485,0.9,1.3,0.727,1.1,2.2,3.3,2.7,0.7,0.2,1.1,0.9,8.4,,martity01
225,Jonas Valančiūnas,33,DEN,C,17,0,12.5,3.2,5.9,0.55,0.1,0.5,0.222,3.1,5.4,0.582,0.56,1.8,2.3,0.769,1.4,3.1,4.5,1,0.1,0.6,1,1.8,8.4,,valanjo01
226,Cole Anthony,25,MIL,PG,18,0,18.8,3.6,8.6,0.413,0.7,2.6,0.255,2.9,6,0.481,0.452,0.6,0.9,0.588,0.6,2.7,3.3,4.8,0.7,0.4,2.4,2.4,8.3,,anthoco01
227,Andre Drummond,32,PHI,C,16,8,24.2,3.3,6.1,0.541,0.6,1.4,0.409,2.8,4.8,0.579,0.587,1.1,1.8,0.607,3.4,7.3,10.7,0.7,0.8,1,0.9,2.4,8.3,,drumman01
228,Bradley Beal,32,LAC,SG,6,6,20.2,3,8,0.375,1.2,3.2,0.368,1.8,4.8,0.379,0.448,1,1.3,0.75,0.3,0.5,0.8,1.7,0.5,0,1.5,2.3,8.2,,bealbr01
229,Isaac Okoro,25,CHI,SG,15,15,24.9,3,6.5,0.459,1.2,3.1,0.383,1.8,3.4,0.529,0.551,1,1.3,0.75,1.1,1.5,2.7,1.6,0.4,0.7,1,3.1,8.2,,okorois01
230,Luke Kennard,29,ATL,SG,16,0,21.7,2.8,5.9,0.479,1.5,3.4,0.436,1.3,2.4,0.538,0.606,1,1.1,0.941,0.6,1.4,1.9,2.3,0.9,0.1,1.1,1.4,8.1,,kennalu01
231,Aaron Holiday,29,HOU,PG,11,0,13.5,2.5,5.5,0.443,1.5,3.6,0.425,0.9,1.9,0.476,0.582,1.5,1.7,0.895,0.2,0.5,0.7,1.1,0.4,0.1,0.8,1.2,8,,holidaa01
232,Luke Kornet,30,SAS,C,10,5,24.1,3.3,4.7,0.702,0,0,,3.3,4.7,0.702,0.702,1.4,2,0.7,2.7,3.4,6.1,2.1,0.1,1.2,0.7,2,8,,kornelu01
233,Luguentz Dort,26,OKC,SF,13,13,29.2,2.7,7.4,0.365,1.6,5.2,0.309,1.1,2.2,0.5,0.474,0.9,1,0.923,1.4,2.5,3.8,1.2,0.8,0.3,0.7,3,7.9,,dortlu01
234,Isaiah Jackson,24,IND,C,18,14,19.2,3,5.2,0.574,0,0,,3,5.2,0.574,0.574,1.9,2.5,0.778,2.4,3.3,5.7,1.1,0.7,0.7,1.2,3.2,7.9,,jacksis01
235,Caleb Love,24,POR,SG,11,0,17.9,2.9,9.2,0.317,1.5,5.6,0.258,1.5,3.5,0.41,0.396,0.6,0.9,0.7,0.7,2.5,3.2,2.3,0.4,0,0.9,1.3,7.9,,loveca01
236,Vince Williams Jr.,25,MEM,SG,14,6,22.1,2.6,7.2,0.366,1.2,4.2,0.288,1.4,3,0.476,0.45,1.4,1.7,0.833,1.1,3.9,5.1,5.6,1,0.4,2.3,2,7.9,,willivi01
237,Jordan Goodwin,27,PHO,PG,16,2,19.9,3.1,7.1,0.442,1.2,3.3,0.358,1.9,3.8,0.517,0.527,0.4,0.5,0.75,2,2.6,4.6,2,1.5,0.2,1.3,1.8,7.8,,goodwjo01
238,Josh Minott,23,BOS,PF,17,9,19.3,2.8,5.5,0.511,1.2,2.8,0.417,1.6,2.7,0.609,0.617,0.9,1.2,0.8,1.8,3.3,5.1,1.4,0.9,0.4,0.6,1.9,7.8,,minotjo01
239,Kris Dunn,31,LAC,PG,18,12,25.9,3,6,0.5,0.9,2.3,0.39,2.1,3.7,0.567,0.574,0.8,1.1,0.75,0.8,1.6,2.4,2.7,1.4,0.2,1.3,2.4,7.7,,dunnkr01
240,Ron Holland,20,DET,SF,18,5,22.2,2.9,7.4,0.396,0.8,2.9,0.264,2.2,4.5,0.481,0.448,1.1,1.3,0.792,0.8,2.7,3.6,1.8,1.8,0.3,1.6,2.7,7.7,,hollaro01
241,Patrick Williams,24,CHI,PF,16,1,21.4,2.6,6.4,0.408,1.5,3.9,0.387,1.1,2.6,0.439,0.524,0.9,1.4,0.652,0.6,2.3,2.9,1.6,1,0.4,1.1,1.9,7.7,,willipa01
242,Kyle Anderson,32,UTA,SF,5,0,18.6,3.2,5.8,0.552,0,0,,3.2,5.8,0.552,0.552,1.2,1.8,0.667,1,2.2,3.2,4,0.8,0.2,1,2.4,7.6,,anderky01
243,Marvin Bagley III,26,WAS,PF,14,1,15.8,3.1,4.9,0.638,0.2,0.4,0.5,2.9,4.5,0.651,0.659,1.1,1.6,0.696,1.9,2.5,4.4,1.4,0.6,0.6,1,2.1,7.6,,baglema01
244,Egor Dёmin,19,BRK,PG,16,9,22.2,2.7,7.3,0.371,1.8,5.1,0.346,0.9,2.2,0.429,0.491,0.5,0.6,0.8,0.6,2.8,3.4,3.4,0.8,0.2,1.6,1.8,7.6,,demineg01
245,Jusuf Nurkić,31,UTA,C,17,12,24.7,2.9,6.9,0.424,0.3,1.6,0.185,2.6,5.4,0.495,0.445,1.4,2.4,0.575,2.4,7.2,9.6,3.5,1.6,0.4,2.8,2.9,7.5,,nurkiju01
246,Precious Achiuwa,26,SAC,C,12,6,20.8,3.2,5.4,0.585,0.2,1.1,0.154,3,4.3,0.692,0.6,0.9,1.7,0.55,1.7,3.3,5,1.1,0.8,0.3,0.6,1.8,7.4,,achiupr01
247,Dominick Barlow,22,PHI,PF,8,5,24.6,2.9,5.5,0.523,0.6,1.9,0.333,2.3,3.6,0.621,0.58,1,1.3,0.8,2.1,2.8,4.9,2,0.4,1.1,1.5,2,7.4,,barlodo01
248,Jevon Carter,30,CHI,PG,8,0,14.3,2.3,5.4,0.419,2,4.5,0.444,0.3,0.9,0.286,0.605,0.8,0.8,1,0.3,1.3,1.5,1.1,0.8,0,0.5,1.1,7.3,,carteje01
249,Javonte Green,32,DET,SG,18,3,21.3,2.4,5.7,0.417,0.9,2.8,0.314,1.5,2.9,0.519,0.495,1.6,2.1,0.763,0.8,2.5,3.3,1,0.9,0.4,0.8,1.6,7.3,,greenja02
250,Buddy Hield,33,GSW,SG,20,0,17.6,2.7,6.4,0.414,1.3,4.2,0.31,1.4,2.2,0.614,0.516,0.6,0.7,0.923,0.5,1.5,2,1.6,0.9,0,1.2,1.3,7.2,,hieldbu01
251,Kentavious Caldwell-Pope,32,MEM,SG,19,13,22.6,2.4,6.7,0.354,0.9,3.3,0.286,1.4,3.4,0.422,0.425,1.4,1.6,0.9,0.4,1.9,2.3,3.1,0.7,0.2,1,1.2,7.1,,caldwke01
252,Collin Murray-Boyles,20,TOR,PF,14,4,18.3,2.6,5.1,0.5,0.6,1.4,0.45,1.9,3.7,0.519,0.563,1.3,1.8,0.72,1.4,1.6,3,1.1,0.6,0.4,0.9,2.1,7.1,,murraco01
253,Josh Okogie,27,HOU,SG,16,12,21.5,2.4,5.4,0.437,1.2,2.9,0.404,1.2,2.5,0.475,0.546,1.2,1.7,0.704,1.3,1.2,2.4,1.1,1.4,0.1,0.6,1.9,7.1,,okogijo01
254,Nae'Qwan Tomlin,25,CLE,PF,10,1,16.1,2.8,5.4,0.519,0.3,2,0.15,2.5,3.4,0.735,0.546,1.2,1.6,0.75,1.5,1.3,2.8,0.5,0.8,0.7,0.3,2.3,7.1,,tomlina01
255,Chris Livingston,22,CLE,SF,1,0,14,3,5,0.6,0,2,0,3,3,1,0.6,1,1,1,0,3,3,1,1,0,0,2,7,,livinch01
256,Kobe Sanders,23,LAC,SG,10,3,20,2.2,5.5,0.4,1.1,3.2,0.344,1.1,2.3,0.478,0.5,1.5,1.6,0.938,0.5,1,1.5,1.2,0.6,0.2,1.4,2.5,7,,sandeko01
257,Nick Smith Jr.,21,LAL,SG,6,0,15,2.7,6.2,0.432,1.3,3,0.444,1.3,3.2,0.421,0.541,0.3,0.5,0.667,0,1,1,2.2,0.5,0.2,1.7,0.7,7,,smithni01
258,Drake Powell,20,BRK,SG,11,0,18.9,2.5,5,0.509,0.7,1.9,0.381,1.8,3.1,0.588,0.582,1.1,1.2,0.923,0.4,1.6,2,2,0.9,0.1,1.2,2,6.9,,poweldr01
259,Gradey Dick,22,TOR,SG,19,0,16.1,2.2,5.4,0.402,1,3.2,0.317,1.2,2.2,0.524,0.495,1.5,1.8,0.853,0.4,1.6,1.9,0.7,0.7,0.1,0.4,0.9,6.8,,dickgr01
260,Justin Edwards,22,PHI,SF,15,5,17.5,2.5,5.6,0.44,1.3,3.5,0.365,1.2,2.1,0.563,0.554,0.6,0.6,1,0.8,1.3,2.1,1.5,0.6,0.3,1,2,6.8,,edwarju01
261,Jay Huff,27,IND,C,18,2,16.7,2.3,6,0.389,1.2,4.1,0.288,1.2,1.9,0.6,0.486,0.9,1.3,0.708,0.9,2.3,3.3,0.9,0.2,2.1,0.7,2.4,6.8,,huffja01
262,Luka Garza,27,BOS,C,16,1,14.6,2.4,4.3,0.559,0.6,1.5,0.417,1.8,2.8,0.636,0.632,1.3,1.8,0.75,2.3,1.7,4,0.8,0.3,0.4,0.4,2.9,6.7,,garzalu01
263,Sion James,23,CHO,SG,18,11,26.5,2.2,5.2,0.419,1.2,3.1,0.393,0.9,2.1,0.459,0.538,1.2,1.4,0.84,0.4,2.7,3.1,1.6,0.8,0.3,0.9,1.6,6.7,,jamessi01
264,Day'Ron Sharpe,24,BRK,C,16,0,16.1,2.5,3.9,0.635,0.2,0.8,0.231,2.3,3.1,0.74,0.659,1.5,2.4,0.615,2.2,3.3,5.5,1.8,0.9,0.4,1.9,2.4,6.7,,sharpda01
265,Bruce Brown,29,DEN,SG,17,0,23.3,2.5,5.9,0.42,0.6,1.8,0.333,1.9,4.1,0.457,0.47,1.1,1.4,0.826,1,2.9,3.9,1.6,0.9,0.2,0.9,2.4,6.6,,brownbr01
266,Sam Hauser,28,BOS,PF,18,2,21.2,2.2,6.6,0.339,1.9,5.7,0.34,0.3,0.8,0.333,0.487,0.2,0.2,0.75,0.7,2.5,3.2,1.3,0.5,0.2,0.6,1.2,6.6,,hausesa01
267,Dalton Knecht,24,LAL,SF,15,1,16.7,2.6,5.6,0.464,1,3.1,0.326,1.6,2.5,0.632,0.554,0.4,0.6,0.667,0.5,1.5,2.1,0.5,0.5,0.4,0.5,1.3,6.6,,knechda01
268,Quinten Post,25,GSW,PF,20,8,16,2.5,5.5,0.445,1.2,3.8,0.32,1.3,1.8,0.714,0.555,0.5,0.7,0.769,0.9,3.1,4,1.2,0.7,0.6,0.8,1.4,6.6,,postqu01
269,Bub Carrington,20,WAS,PG,17,5,25.2,2.3,6.4,0.361,1.4,2.9,0.46,0.9,3.4,0.276,0.468,0.6,0.8,0.714,0.3,3.1,3.4,4.2,0.5,0.1,2.3,2.7,6.5,,carrica01
270,Paul Reed,26,DET,C,14,2,12,2.8,4.1,0.684,0.3,0.6,0.5,2.5,3.5,0.714,0.719,0.6,1,0.643,1.8,2.4,4.1,1.1,1,0.8,1,1.7,6.5,,reedpa01
271,Jeremy Sochan,22,SAS,PF,11,0,16.5,2.5,5,0.491,0.6,1.9,0.333,1.8,3.1,0.588,0.555,0.9,1.2,0.769,0.8,2.6,3.5,1.7,0.4,0.3,1.1,2.6,6.5,,sochaje01
272,Goga Bitadze,26,ORL,C,18,0,16.9,2.4,3.4,0.71,0.1,0.4,0.286,2.3,3.1,0.764,0.726,1.4,1.8,0.758,1.7,3.6,5.3,1.5,0.7,1.2,0.6,2.1,6.4,,bitadgo01
273,Brook Lopez,37,LAC,C,17,0,14.4,2.2,5.5,0.404,1.4,3.8,0.359,0.9,1.8,0.5,0.527,0.5,0.6,0.727,0.2,1.7,1.9,0.5,0.3,0.8,0.8,1.7,6.3,,lopezbr01
274,Mac McClung,27,IND,SG,3,0,11.3,2.3,6,0.389,0.7,3.3,0.2,1.7,2.7,0.625,0.444,1,1.3,0.75,0,1.3,1.3,0.3,1.7,0.3,0.7,2,6.3,,mccluma01
275,Ben Sheppard,24,IND,SG,18,8,25.7,2.3,7.2,0.323,0.9,4.2,0.213,1.4,3.1,0.473,0.385,0.8,0.9,0.824,0.9,3.4,4.3,1.8,0.6,0.2,0.5,2.1,6.3,,sheppbe01
276,Keon Ellis,26,SAC,SG,18,2,17.6,2.2,4.9,0.438,1.5,3.5,0.429,0.7,1.4,0.462,0.59,0.4,0.6,0.7,0.3,1.2,1.5,0.6,1.3,0.4,0.5,1.9,6.2,,elliske01
277,Drew Eubanks,28,SAC,C,19,8,15.9,2.6,4.2,0.625,0.1,0.1,0.5,2.6,4.1,0.628,0.631,0.9,1.7,0.515,0.8,2.4,3.2,0.4,0.6,0.8,1,1.5,6.2,,eubandr01
278,Dru Smith,28,MIA,SG,19,0,17.2,2.3,5.2,0.439,0.8,2.3,0.372,1.4,2.9,0.491,0.52,0.8,1.1,0.762,0.9,1.6,2.6,2.9,1.6,0.2,1.1,1.5,6.2,,smithdr01
279,Lonzo Ball,28,CLE,PG,15,3,24,2,6.5,0.306,1.5,5.4,0.284,0.5,1.1,0.412,0.423,0.5,0.8,0.667,0.9,3.4,4.3,5.2,1.1,0.3,2,2,6.1,,balllo01
280,Yves Missi,21,NOP,C,14,5,20.1,2.6,4.6,0.569,0,0,,2.6,4.6,0.569,0.569,0.9,1.6,0.545,3.3,2.1,5.4,1.4,0.2,1.3,1,1.9,6.1,,missiyv01
281,Taurean Prince,31,MIL,SF,8,0,21.1,2.1,4.8,0.447,1.5,3.5,0.429,0.6,1.3,0.5,0.605,0.4,0.4,1,0,1.6,1.6,1,0.8,0.3,0.6,2.5,6.1,,princta02
282,Jamal Shead,23,TOR,PG,19,0,18.6,1.8,4.4,0.417,1,2.5,0.404,0.8,1.9,0.432,0.53,1.4,1.8,0.794,0.3,1.3,1.6,5.5,0.8,0.1,1.2,1.9,6.1,,sheadja01
283,Steven Adams,32,HOU,C,14,4,21.9,2.2,4.4,0.508,0,0,,2.2,4.4,0.508,0.508,1.6,2.1,0.733,5,4.2,9.2,1.5,0.6,0.6,1.1,2.1,6,,adamsst01
284,Jaden Hardy,23,DAL,SG,16,0,11.1,1.9,4.9,0.385,1.3,3.1,0.4,0.6,1.8,0.357,0.513,1,1.3,0.8,0.3,1.1,1.3,0.4,0.3,0.1,0.9,1.3,6,,hardyja02
285,Jett Howard,22,ORL,SF,14,0,11,2.2,4.9,0.456,1.2,3.1,0.386,1,1.7,0.583,0.581,0.4,0.4,1,0.3,0.9,1.1,0.8,0.1,0.2,0.1,0.8,6,,howarje01
286,Jahmai Mashack,23,MEM,SG,1,0,6,2,4,0.5,2,4,0.5,0,0,,0.75,0,0,,0,2,2,0,0,0,0,0,6,,mashaja01
287,Doug McDermott,34,SAC,SF,1,0,8,2,3,0.667,2,3,0.667,0,0,,1,0,0,,0,0,0,0,0,0,1,1,6,,mcderdo01
