Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
89,Jaden McDaniels,25,MIN,PF,17,17,32,6.2,11.6,0.53,1.6,3.4,0.466,4.6,8.2,0.557,0.598,2.2,2.5,0.86,1.2,3.6,4.9,2.4,1.2,1.1,2.1,3.6,16.1,,mcdanja02
90,Derrick White,31,BOS,SG,18,18,33,5.4,14.9,0.362,2.7,8.5,0.32,2.7,6.4,0.417,0.453,2.5,2.9,0.849,0.9,3.2,4.2,5.1,1.8,1.3,1.4,2,16,,whitede01
91,Cooper Flagg,19,DAL,PG,18,18,33.6,6.2,13.7,0.451,1,3.8,0.261,5.2,9.8,0.525,0.488,2.6,3.2,0.793,1.3,5.2,6.4,3.1,1.3,0.7,2.2,2.3,15.9,,flaggco01
92,Ajay Mitchell,23,OKC,SG,19,5,27.5,5.8,12.5,0.464,1.2,3.5,0.333,4.6,9,0.515,0.511,3.2,3.7,0.859,0.6,2.9,3.6,3.8,1.7,0.3,1.7,2.2,15.9,,mitchaj01
93,OG Anunoby,28,NYK,PF,12,12,31.1,5.8,12.3,0.476,2.6,6.6,0.392,3.3,5.7,0.574,0.582,1.6,2.1,0.76,1.6,4,5.6,2.2,1.9,0.7,1.8,2.3,15.8,,anunoog01
94,Collin Sexton,27,CHO,SG,17,10,26.1,5.2,10.9,0.481,1.3,3.5,0.367,3.9,7.4,0.536,0.541,4,4.6,0.861,0.3,1.8,2.1,4.5,0.6,0,2.6,2.1,15.8,,sextoco01
95,P.J. Washington,27,DAL,PF,18,18,31.5,5.7,13,0.436,1.6,4.7,0.329,4.1,8.3,0.497,0.496,2.8,4.1,0.676,1.3,6.5,7.8,2.3,0.9,1.2,2.6,2.3,15.7,,washipj01
96,VJ Edgecombe,20,PHI,SG,15,15,37.3,5.9,14.4,0.407,2,5.5,0.366,3.9,8.9,0.433,0.477,1.9,2.5,0.737,2.1,3.9,6,4.2,1.3,0.5,1.9,3.1,15.6,,edgecvj01
97,Deandre Ayton,27,LAL,C,15,15,29.2,7.3,10.5,0.696,0,0,,7.3,10.5,0.696,0.696,0.9,1.5,0.565,2.8,5.6,8.4,0.9,0.7,0.9,2.4,3,15.5,,aytonde01
98,Jalen Green,23,PHO,SG,2,2,15,5.5,11.5,0.478,3,7,0.429,2.5,4.5,0.556,0.609,1.5,2.5,0.6,1,1,2,2,1,0,1,1,15.5,,greenja05
99,Aaron Nesmith,26,IND,SF,11,11,30.5,4.9,13.4,0.367,2.8,7.5,0.373,2.1,5.8,0.359,0.473,2.8,3.5,0.795,1.5,2.9,4.5,1.5,0.8,0.3,0.7,2.5,15.5,,nesmiaa01
100,Immanuel Quickley,26,TOR,PG,19,19,31.8,5.6,12.4,0.449,2.4,6.5,0.366,3.2,5.9,0.54,0.544,1.9,2.6,0.74,0.4,4.4,4.8,6.1,1.4,0.1,1.6,2.2,15.5,,quickim01
101,Jeremiah Fears,19,NOP,PG,19,17,26.7,5.8,12.8,0.453,1.2,3.3,0.365,4.6,9.5,0.483,0.5,2.3,2.9,0.786,0.7,2.5,3.2,2.7,1.5,0.2,2.3,1.9,15.1,,fearsje01
102,Jabari Smith Jr.,22,HOU,PF,15,15,33.3,5.4,12.2,0.443,2.3,5.8,0.391,3.1,6.4,0.49,0.536,2,2.5,0.789,1.5,5.3,6.7,1.8,0.8,0.8,1.1,3.1,15.1,,smithja05
103,Rui Hachimura,27,LAL,PF,16,16,33.4,5.8,10.1,0.568,1.8,3.8,0.483,3.9,6.4,0.618,0.657,1.6,2.1,0.735,0.8,3.1,3.9,1.1,0.6,0.3,1.1,1.8,14.9,,hachiru01
104,Jarrett Allen,27,CLE,C,14,14,26,5.6,9.8,0.577,0,0.3,0,5.6,9.5,0.594,0.577,3.5,4.6,0.766,2.4,5.2,7.6,1.9,1.1,0.9,1.6,1.5,14.8,,allenja01
105,Aaron Wiggins,27,OKC,SG,9,5,27.6,5.7,12.3,0.459,2.8,6.7,0.417,2.9,5.7,0.51,0.572,0.7,1,0.667,1,2.7,3.7,2.2,0.4,0.8,1,2.2,14.8,,wiggiaa01
106,Walker Kessler,24,UTA,C,5,5,30.8,5.2,7.4,0.703,1.2,1.6,0.75,4,5.8,0.69,0.784,2.8,4,0.7,4.6,6.2,10.8,3,1.4,1.8,3.2,4.4,14.4,,kesslwa01
